epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2058,1.01894,4.2846,1.45917,0.42999,0.16547,0.17373,0.13734,0.82694,2.92618,1.29441,0.000110413,0.000110413,0.000110413
2,93.8252,0.90216,3.73501,1.34142,0.26984,0.46255,0.28661,0.21645,0.8996,2.4319,1.36625,0.000217029,0.000217029,0.000217029
3,135.778,0.91605,3.28047,1.3441,0.32126,0.58955,0.45287,0.35834,0.83005,1.99196,1.26426,0.000319249,0.000319249,0.000319249
4,178.536,0.93401,2.91772,1.35719,0.53674,0.53572,0.61751,0.49666,0.87024,1.79714,1.327,0.00031322,0.00031322,0.00031322
5,220.167,0.87447,2.58124,1.29587,0.62579,0.6767,0.71586,0.5676,0.85022,1.51301,1.26923,0.000306626,0.000306626,0.000306626
6,262.89,0.85152,2.37761,1.27878,0.68789,0.7045,0.80461,0.63398,0.89593,1.42915,1.31576,0.000300033,0.000300033,0.000300033
7,304.403,0.82784,2.20779,1.25283,0.72069,0.72013,0.78833,0.63899,0.85512,1.28934,1.27288,0.00029344,0.00029344,0.00029344
8,345.892,0.79232,2.01941,1.22995,0.72608,0.7777,0.85558,0.63301,1.09025,1.24008,1.54726,0.000286846,0.000286846,0.000286846
9,387.417,0.79071,1.91473,1.22056,0.73722,0.81125,0.87165,0.72372,0.79928,1.05118,1.25415,0.000280253,0.000280253,0.000280253
10,429.629,0.79884,1.80381,1.21833,0.75767,0.75096,0.86041,0.70409,0.78191,1.04134,1.21886,0.000273659,0.000273659,0.000273659
11,474.922,0.7659,1.70039,1.1953,0.7586,0.79778,0.88926,0.66949,1.03754,0.98299,1.43775,0.000267066,0.000267066,0.000267066
12,519.492,0.74686,1.60183,1.18477,0.75392,0.76139,0.8648,0.70282,0.83275,1.01954,1.24861,0.000260473,0.000260473,0.000260473
13,566.005,0.73671,1.54981,1.18665,0.83616,0.81654,0.91371,0.71552,0.94722,0.90623,1.37367,0.000253879,0.000253879,0.000253879
14,610.569,0.72375,1.48759,1.17694,0.84625,0.82237,0.90584,0.73467,0.82753,0.85744,1.2227,0.000247286,0.000247286,0.000247286
15,655.971,0.73027,1.45002,1.17903,0.87368,0.83163,0.93648,0.79572,0.72021,0.74554,1.15325,0.000240692,0.000240692,0.000240692
16,700.209,0.71486,1.34858,1.16265,0.85631,0.80392,0.91316,0.72932,0.91557,0.86004,1.28688,0.000234099,0.000234099,0.000234099
17,742.897,0.71332,1.32038,1.15412,0.83863,0.83426,0.89458,0.72027,0.84988,0.80304,1.24144,0.000227506,0.000227506,0.000227506
18,785.35,0.71668,1.30529,1.16529,0.83323,0.85553,0.91994,0.74669,0.79841,0.75521,1.22649,0.000220912,0.000220912,0.000220912
19,827.499,0.70346,1.23006,1.15194,0.85816,0.80176,0.92051,0.73184,0.91305,0.77748,1.27862,0.000214319,0.000214319,0.000214319
20,870.091,0.67521,1.15818,1.12796,0.86734,0.84438,0.91528,0.73125,0.85139,0.73305,1.24817,0.000207725,0.000207725,0.000207725
21,913.987,0.69011,1.18075,1.14703,0.88547,0.82637,0.92284,0.7376,0.87268,0.74252,1.25259,0.000201132,0.000201132,0.000201132
