epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5429,1.05637,4.14739,1.5023,0.55299,0.4545,0.52493,0.42048,0.75751,1.8905,1.2343,0.000110413,0.000110413,0.000110413
2,92.8494,0.88769,2.30668,1.29747,0.60939,0.73938,0.75543,0.59075,0.88748,1.4403,1.31603,0.000217029,0.000217029,0.000217029
3,134.704,0.88153,1.83823,1.27656,0.68747,0.66408,0.73422,0.59318,0.84259,1.37895,1.26799,0.000319249,0.000319249,0.000319249
4,177.657,0.86251,1.61317,1.27351,0.72501,0.65535,0.76753,0.63023,0.77159,1.16748,1.24438,0.00031322,0.00031322,0.00031322
5,217.218,0.8432,1.42767,1.25148,0.75228,0.83313,0.89707,0.72155,0.87097,0.81835,1.26647,0.000306626,0.000306626,0.000306626
6,257.896,0.83394,1.3888,1.24125,0.75241,0.76709,0.87216,0.67299,0.96672,0.96148,1.37214,0.000300033,0.000300033,0.000300033
7,298.03,0.80114,1.28788,1.21933,0.86819,0.69042,0.87393,0.7222,0.78322,0.91715,1.21169,0.00029344,0.00029344,0.00029344
8,338.901,0.77514,1.1951,1.20695,0.78604,0.83137,0.89336,0.70967,0.90201,0.78495,1.30595,0.000286846,0.000286846,0.000286846
9,382.861,0.77268,1.12867,1.19099,0.83734,0.83026,0.9168,0.77002,0.73707,0.74481,1.17469,0.000280253,0.000280253,0.000280253
10,428.823,0.77161,1.07088,1.19294,0.86325,0.83646,0.92027,0.73815,0.86163,0.69571,1.28307,0.000273659,0.000273659,0.000273659
11,472.538,0.7621,1.05536,1.18165,0.87942,0.82543,0.93008,0.72616,0.97356,0.73179,1.42903,0.000267066,0.000267066,0.000267066
12,513.804,0.74583,1.00131,1.17415,0.83086,0.86674,0.92472,0.73536,0.90728,0.66764,1.33591,0.000260473,0.000260473,0.000260473
13,554.172,0.73981,0.96854,1.18347,0.87604,0.88057,0.94073,0.72875,0.99564,0.66663,1.3767,0.000253879,0.000253879,0.000253879
14,596.749,0.72382,0.95441,1.16763,0.89482,0.86472,0.93819,0.72266,0.95334,0.64438,1.32971,0.000247286,0.000247286,0.000247286
15,639.2,0.73751,0.95421,1.1748,0.88355,0.86962,0.93943,0.77213,0.76428,0.56008,1.21045,0.000240692,0.000240692,0.000240692
16,679.542,0.71127,0.89295,1.15841,0.89347,0.86866,0.93636,0.75341,0.84428,0.59668,1.23233,0.000234099,0.000234099,0.000234099
17,721.471,0.7167,0.87062,1.15832,0.86144,0.85707,0.9336,0.73781,0.91686,0.68306,1.32854,0.000227506,0.000227506,0.000227506
18,764.903,0.72021,0.85939,1.16046,0.88719,0.86541,0.93381,0.73413,0.93019,0.58104,1.33268,0.000220912,0.000220912,0.000220912
19,806.975,0.70252,0.83537,1.15176,0.82513,0.87679,0.92075,0.74167,0.87956,0.63106,1.32019,0.000214319,0.000214319,0.000214319
20,851.739,0.68556,0.77744,1.13142,0.8718,0.8755,0.92285,0.75287,0.8191,0.6305,1.21854,0.000207725,0.000207725,0.000207725
21,894.731,0.69245,0.81526,1.15036,0.86551,0.86991,0.93084,0.74528,0.90053,0.66626,1.27364,0.000201132,0.000201132,0.000201132
22,934.453,0.67503,0.7618,1.12731,0.90321,0.89033,0.9442,0.76098,0.84074,0.5434,1.24855,0.000194539,0.000194539,0.000194539
